GraduatedYr,FacName,FacName.1,gender,AgeGrad,Nationality,EntryChannel,MUET,Program,CGPA,YearEntry,YearGrad,Status,JobGroup,jobassurance,JobStatusCategory,JobIncome,JobNumber
2023,FSKTM,Fac1,Male,23,Non-Malaysian,Lain-lain,Band 2,BACELOR KEJURUTERAAN PERISIAN,2.76,2018,2023,52,Profesional,Government employees,Permanent,"RM4,001- RM5,000",Pertama
2023,FSKTM,Fac1,Male,24,Malaysian,Matrikulasi KPM,Band 4,BACELOR KEJURUTERAAN PERISIAN,2.67,2017,2023,52,Profesional,Private workers (including NGOs),Contract,"RM2,501- RM3,000",Pertama
2023,FSKTM,Fac1,Male,25,Malaysian,Diploma,Band 3,BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER),2.76,2018,2023,52,Profesional,Private workers (including NGOs),Contract,"RM2,001- RM2,500",Ke- 2
2023,FSKTM,Fac1,Female,24,Malaysian,Matrikulasi KPM,Band 3,BACELOR KEJURUTERAAN PERISIAN,2.48,2017,2023,52,Profesional,Private workers (including NGOs),Permanent,"RM1,501- RM2,000",Pertama
2023,FSKTM,Fac1,Male,25,Non-Malaysian,Lain-lain,Band 3,BACELOR KEJURUTERAAN PERISIAN,2.97,2018,2023,Belum/Tidak bekerja,-2,-2.0,Not applicable,Tidak Berkaitan,-2
2023,FSKTM,Fac1,Female,23,Non-Malaysian,Lain-lain,Band 3,BACELOR KEJURUTERAAN PERISIAN,2.86,2019,2023,Belum/Tidak bekerja,-2,-2.0,Not applicable,Tidak Berkaitan,-2
2023,FSKTM,Fac1,Male,23,Non-Malaysian,Lain-lain,Band 2,BACELOR SAINS KOMPUTER (MULTIMEDIA),2.83,2019,2023,Belum/Tidak bekerja,-2,-2.0,Not applicable,Tidak Berkaitan,-2
2023,FSKTM,Fac1,Female,26,Malaysian,Matrikulasi KPM,Band 4,BACELOR SAINS KOMPUTER (MULTIMEDIA),2.61,2015,2023,Belum/Tidak bekerja,-2,-2.0,Not applicable,Tidak Berkaitan,-2
2023,FSKTM,Fac1,Male,25,Malaysian,Asasi UPM,Band 3,BACELOR SAINS KOMPUTER (MULTIMEDIA),2.6,2016,2023,Belum/Tidak bekerja,-2,-2.0,Not applicable,Tidak Berkaitan,-2
2023,FSKTM,Fac1,Female,25,Malaysian,Diploma,Band 2,BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER),2.99,2019,2023,Belum/Tidak bekerja,-2,-2.0,Not applicable,Tidak Berkaitan,-2
2023,FSKTM,Fac1,Male,26,Malaysian,Diploma,Band 2,BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER),2.81,2018,2023,Belum/Tidak bekerja,-2,-2.0,Not applicable,Tidak Berkaitan,-2
