GraduatedYr,gender,AgeGrad,Nationality,EntryChannel,CGPA,YearEntry,YearGrad,jobassurance,JobStatusCategory,JobIncomeCategory,Cluster
2023,1,-0.343926679216357,1,6,2.76,2018,2023,2,2,1,0
2023,1,0.1841510326095349,0,7,2.67,2017,2023,3,0,0,0
2023,1,0.7122287444354268,0,3,2.76,2018,2023,3,0,0,0
2023,0,0.1841510326095349,0,7,2.48,2017,2023,3,2,0,0
2023,0,-0.343926679216357,0,7,2.91,2018,2023,3,2,0,0
2023,1,0.7122287444354268,1,6,2.97,2018,2023,3,1,0,0
2023,0,-0.343926679216357,1,6,2.86,2019,2023,3,1,0,0
2023,1,-0.343926679216357,1,6,2.83,2019,2023,3,1,0,0
2023,0,1.2403064562613189,0,7,2.61,2015,2023,3,1,0,0
2023,1,0.7122287444354268,0,2,2.6,2016,2023,3,1,0,0
2023,0,0.7122287444354268,0,3,2.99,2019,2023,3,1,0,0
2023,1,1.2403064562613189,0,3,2.81,2018,2023,3,1,0,0
2023,1,-0.872004391042249,1,6,3.1,2019,2023,3,0,2,0
2023,1,2.2964618799131027,1,6,3.73,2019,2023,3,0,2,0
2023,1,-0.872004391042249,0,7,3.21,2019,2023,3,0,1,0
2023,0,-0.872004391042249,0,7,3.34,2019,2023,3,0,1,0
2023,1,-0.872004391042249,0,1,3.5,2019,2023,3,2,1,0
2023,1,-0.343926679216357,0,11,3.57,2019,2023,3,2,1,2
2023,1,0.1841510326095349,0,3,3.55,2019,2023,3,2,1,0
2023,0,-0.872004391042249,0,7,3.74,2019,2023,3,0,1,0
2023,1,-0.872004391042249,0,7,3.73,2019,2023,3,2,1,0
2023,1,-0.872004391042249,0,7,3.71,2019,2023,3,2,1,0
2023,1,-0.872004391042249,0,7,3.71,2019,2023,3,3,1,0
2023,1,-0.872004391042249,0,7,3.64,2019,2023,3,2,1,0
2023,1,-0.872004391042249,0,7,3.56,2019,2023,3,2,1,0
2023,0,-0.872004391042249,0,7,3.54,2019,2023,3,2,1,0
2023,1,-0.872004391042249,0,7,3.66,2019,2023,3,2,1,0
2023,1,-0.872004391042249,0,7,3.7,2019,2023,3,0,1,0
2023,1,-0.872004391042249,0,2,3.66,2019,2023,3,0,1,0
2023,1,-0.872004391042249,0,7,3.42,2019,2023,3,0,1,0
2023,1,-0.872004391042249,0,7,3.71,2019,2023,3,2,1,0
2023,0,-0.872004391042249,0,2,3.69,2019,2023,3,0,1,0
2023,0,-0.872004391042249,0,7,3.62,2019,2023,3,2,1,0
2023,1,-0.872004391042249,0,7,3.52,2019,2023,3,2,1,0
2023,1,-0.872004391042249,0,7,3.59,2019,2023,3,2,1,0
2023,1,-0.872004391042249,0,7,3.5,2019,2023,3,2,1,0
2023,1,-0.343926679216357,0,11,3.6,2019,2023,3,2,1,2
2023,0,-0.872004391042249,0,7,3.53,2019,2023,3,2,1,0
2023,1,-0.872004391042249,0,7,3.7,2019,2023,3,0,1,0
2023,0,-0.872004391042249,0,7,3.67,2019,2023,3,0,1,0
2023,0,0.1841510326095349,0,3,3.58,2019,2023,3,2,1,0
2023,0,-0.872004391042249,0,7,3.55,2019,2023,3,2,1,0
2023,1,-0.872004391042249,0,7,3.26,2019,2023,3,0,1,0
2023,1,-0.872004391042249,0,2,3.71,2019,2023,3,2,1,0
2023,1,-0.872004391042249,0,2,3.69,2019,2023,3,2,1,0
2023,0,-0.872004391042249,0,7,3.62,2019,2023,3,2,1,0
2023,0,-0.872004391042249,0,7,3.61,2019,2023,3,0,1,0
2023,1,-0.872004391042249,0,7,3.13,2019,2023,3,2,0,0
2023,1,-0.872004391042249,0,7,3.52,2019,2023,3,2,0,0
2023,1,-0.872004391042249,0,2,3.7,2019,2023,3,0,0,0
2023,1,-0.343926679216357,0,7,3.43,2018,2023,3,0,0,0
2023,0,-0.872004391042249,0,7,3.64,2019,2023,3,2,0,0
2023,0,-0.872004391042249,0,2,3.52,2019,2023,3,2,0,0
2023,1,-0.872004391042249,0,2,3.01,2019,2023,3,2,0,0
2023,1,-0.872004391042249,0,7,3.68,2019,2023,3,0,0,0
2023,1,-0.872004391042249,0,7,3.58,2019,2023,3,0,0,0
